Gaelg
*Greetings|Bannaghtyn
It is wrong side up.|T'eh bun ry skyn.
It is worth money.|Sheeu argid eh.
It is worth its weight in gold.|S'feeu e chormid hene ayns airh eh.
It is worth his while to sell.|Sheeu lesh creck.
It is worth my while.|T'eh feeu dou.
It is worthy of note.|She cooid chronnalys eh.
It knocked me off my feet.|Woaill eh mee jeh my ghaa voyn.
It looks more hopeful.|Ta cummey share er.
It looks fishy.|Ta ushtey fo-halloo ennagh ayn.
It looks fishy.|Ta soar y chynnee jeh.
It led to nothing.|Cha daink eh gys veg.
It led to a good result.|Haink jerrey mie er.
It shows through.|T'eh ry akin ny hrooid.
It slipped my notice.|Cha ghow mee tastey jeh.
It shaped my life.|Ren eh cummey yn vea aym.
It runs in the blood.|T'eh 'sy ghooghys.
It runs in the family.|T'eh 'syn 'uill.
It rests with you.|T'eh ayns dty laueyn hene.
It rests with you.|Er dty chione hene.
It put me off.|Hug eh mee jeh'n vuilley aym.
It put me out.|Hug eh snee orrym.
It sent a shiver down my spine.|Hug eh bibbernee ayns my ghreeym.
It seems so to me.|Strooys hene eh.
It seems so.|T'eh jeeaghyn myr shen.
It seems so.|T'eh gollrish shen.
It is really as I say.|T'eh dy feer myr ta mee gra.
It is regrettable.|S'treih eh.
It is slow work.|She obbyr lhiastey ee.
It is slippery walking.|T'eh shliawin fo chosh.
It is settled weather.|Ta bun er yn emshir.
It is self explanatory.|Ta soilsheydys ayn hene.
It is open to you to object.|Ta kied ayd dy hassoo noi.
It is open to doubt.|Verragh eh ourys ort.
It is our intention.|She nyn yoin eh.
It is out of use.|T'eh ass ymmyd.
It is pretty much the same thing.|T'eh bunnys yn un' red.
It is quite as well for us.|T'eh kiart cha mie dooin.
It is quite a frequent practice.|T'eh jeant dy cadjin.
It is protruding through it.|T'eh cheet ny hrooid.
It is possible for him to do it.|Ta'n pooar echey dy yannoo eh.
It is past all understanding.|T'eh erskyn ooilley toiggal.
It is particularly bad.|T'eh feer olk.
It is possible for him to do it.|Foddee eh jannoo eh.
It is possible.|Foddee eh ve.
It is pleasing to me.|S'taittin lhiam eh.
It is unrestricted.|T'eh gyn quing.
It is unrestricted.|T'eh gyn cagliagh.
It is valued at a hundred pounds.|Sheeagh keead punt eh.
It is true to a considerable extent.|S'feer y chooid smoo jeh.
It is turning to rain.|T'eh ceau fliaghey.
It is well known to me.|Surrys enn dou.
It is well known.|T'eh dy mie er fys.
It is within sight.|T'eh ry akin.
It is wearing thin.|T'eh skeedyral.
It is very heartening.|T'eh cur cree dou.
It is very disquieting.|She oyr imnea eh.
It is very primitive indeed.|T'ee feer vunneydagh dy jarroo.
It is very up to date.|T'eh feer noa-emshiragh.
It is spitting rain.|T'eh sheeley fliaghey.
It is thundering.|T'eh taarnaghey.
It is three o'clock.|T'eh tree er y chlag.
It is true.|Ta shen slane firrinagh.
It is tantamount to a refusal.|T'eh corrym rish obbal.
It is there that I saw him.|Ayns shen honnick mee eh.
It is the worse for wear.|T'eh bunnys ceaut.
It crossed my mind.|Roie eh trooid yn aigney aym.
It depends on you.|She er dty laue hene eh.
It defies description.|Cha nel soilshaghey erbee er.
It came to naught.|Haink eh gys neunhee.
It came off O.K.|Haghyr eh kiart dy liooar.
It came out of the blue.|Haink eh gyn jerkallys.
It clouds the issue.|T'eh jannoo yn skeeal dullyr.
It escaped my notice.|Cha dug mee geill da.
It doesn't suit you.|Cha nel eh cheet jesh dhyt.
It bodes well.|S'mie yn monney eh.
It bodes no good.|Cha nel mie erbee ayn.
It bodes no good.|Cha jig mie erbee ass.
It bodes ill.|S'olk yn monney eh.
It boils down to this.|Ta shoh bun as baare jeh.
It blew a gale.|Heid y gheay dy ard.
It came full circle.|Ren eh yn slane coorse.
It burned into my mind.|T'eh daajit ayns my chree.
It all fell through.|Huitt yn slane thoyn ass.
It all fell through.|Cha daink eh gys veg.
It all fell flat.|Huitt yn thoyn ass.
It amounts to the same thing.|T'eh yn un red.
It all amounts to the same thing.|Ta'n jerrey jeh yn un red.
It all falls on me.|T'eh ooilley orryms.
It all falls on me.|She my churryms ooilley eh.
It all depends on that.|T'eh ooilley croghey er shen.
It all but happened.|Dobbyr da taghyrt.
It appears to be so.|T'eh jeeaghyn dy ve myr shen.
It appears to me that you are right.|Strooys dy vel oo kiart.
It baffles description.|Cha nod oo chur coontey jeh.
It augurs no good.|Cha nee cowrey mie eh.
Keep it a secret.|Jean folliaght jeh.
Keep it always to the fore.|Freill eh gys y chione toshee.
Keep me posted about it.|Freill fys dou mychione echey.
Keep to the rules.|Lhiant rish ny reillyn.
Keep smiling.|Cum seose dty chreeaght.
Just as you please.|Kiart my sailliu.
Just as you please.|Dty choyrle hene.
Let's go home.|Hooin roin thie.
Let's hear both sides of it.|Lhig dooin clashtyn yn derrey skeeal.
Let's get down to the facts.|Lhig dooin fakin ny nheeghyn myr t'ad.
Let's investigate the matter.|Ronseemayd y chooish.
Let us dismiss the subject.|Ceaumayd voin y chooish.
Let us cut the conversation short.|Lhig dooin girraghey y coloayrtys.
Let us do it jointly.|Lhig dooin jannoo eh boodee.
Let us talk it over.|Loayrmayd mychione echey.
Let well alone.|Ny benn rish.
Let us examine the question.|Lhig dooin ronsaghey y chooish.
Let us make a beginning.|Tosheemayd.
Let us make a beginning.|Lhig dooin goaill toshiaght.
Leave it to time.|Faag da Jee eh.
Leave it to me.|Faag dooys eh.
Lend me your aid.|Coon lhiam.
Lend me your ear.|Cur geill dou.
Lend me your ear.|Eaisht rhym.
It was well-known.|Baashagh enn da.
It was you who put me on the road to success.|She uss hug yn rah orrym.
It was worthless from the word go.|V'eh neufeeu veih'n toshiaght.
It was weighing tons.|V'eh trimmid tunnaghyn.
It was too much spoken about.|V'eh ro loayrit mysh.
It was very wet last night.|Va ram fliaghey jeant riyr.
It was very useful to me.|V'eh feer ymmydoil dou.
It was very gratifying to me.|By vooar y taitnys hug eh dou.
It went favourably for me.|Haink eh lhiam.
It went down the wrong way.|Hie eh rish my m'ennal.
It went down by heirship.|V'eh er ny hymney.
It was necessary for me to come.|B'egin dou cheet.
It was my thought.|Va shen my aigney.
It was my inclination.|Va shen my aigney.
It was nothing like as good.|Cha row eh lieh cha mie.
It was just a blur.|Cha row eh agh cummey do-akin.
It was in bad taste.|V'eh neuellynagh.
It was in a great part due to the weather.|By vooar yn emshyr 'sy chooish.
It was just a blur.|Cha row eh agh meechummey.
It was like this.|V'eh myr shoh.
It was lifted up.|V'eh troggit.
It was obvious to me.|B'leayr dou eh.
It was the inmost.|B'odjey stiagh eh.
It was something like that.|V'eh red gollrish shen.
It was the ruin of him.|V'eh yn chragh echey.
It was the only resort.|Cha row couyr erbee elley ayn.
It was on the tip of my tongue.|V'eh er baare my hengey.
It was plain to be.|B'leayr dou.
It was smashed to atoms.|V'eh brisht ayns peeshyn beggey.
It was smashed to atoms.|V'eh brisht ayns breneenyn.
It was resolved that it should be done.|V'eh kiarit dy beagh eh jeant.
It will tell on your health.|Ver eh jeeyl er dty 'laynt.
It will surpass everything.|Bee eh ny share na dagh ooilley red.
It will shade the wall.|Ver eh scaa da'n voalley.
It will unbalance him.|Ver eh ass e cheeayl eh.
It will serve the purpose.|Nee eh jannoo da'n chooish.
It will pay you to do it.|B'eeu eh dhyt jannoo eh.
It will serve as a stopgap.|Lhieenee eh y varney.
It will repair your health.|Nee eh cur foays er dty 'laynt.
It will wear well.|Ta cooid e ceau ayn.
It works automatically.|T'eh gobbragh eh hene.
It would be well to learn it first.|By vie yn choyrle eh dy ynsagh eh rolaue.
It would be good.|Veagh eh mie.
It worked out very well for me.|Haink eh dy mie lhiam.
It won't come out.|Cha jean eh glenney.
It won't be long now.|Cha bee eh foddey nish.
It won't take me long.|Cha jean eh goaill monney traa.
It won't take any more.|Cha jean eh cummal ny smoo.
It will be of some service.|Yiowmayd ymmyd ass.
It will be my turn some day.|Hig my hayll laa ennagh.
It will be done soon.|Bee eh jeant dy gerrid.
It will have to go through the usual channels.|Shegin da goll trooid ny bastagyn oikoil.
It will last many years.|Ta ymmodee bleeantyn foast ayn.
It will come home to roost.|Hig eh thie.
It took my fancy.|Hug eh taitnys dou.
It was a great joke.|By vooar y spotch eh.
It was a great idea.|By vooar yn eie eh.
It was a great day indeed.|By vooar y laa dy jarroo.
It was a flop.|Huitt yn thoyn ass.
It stands to reason.|T'eh ny lhie rish resoon.
It stands to reason.|She resoonagh eh.
It stands out like a sore thumb.|T'eh dy baghtal ry akin.
It sounds like the truth.|Ta blayst yn irriney er.
It spoils the day.|T'eh milley yn laa.
It speaks well for your courage.|S'mie yn cowrey creeaght ort eh.
It speaks for itself.|S'leayr eh.
It still holds good.|T'eh foast ny hassoo.
It suited me.|By chooie eh dou.
It thrilled me.|Hug eh er creau mee.
It suffers from neglect.|Ta meerioose er.
It stood me in good stead.|By vooar yn couyr dou eh.
It stinks.|T'eh breinn.
It stopped my breath.|Ghow eh yn ennal jeem.
It was done beautifully.|V'eh jeant dy aalin.
It was done in fun.|V'eh jeant myr gamman.
It was done very well.|V'eh jeant feer vie.
It was done to death.|V'eh cliaghtit gy-baase.
It was done in good time.|V'eh jeant dy traaoil.
It was difficult.|By ghoillee eh.
It was clear to me.|B'leayr dou.
It was creeping over me.|V'eh cheet orrym.
It was early in the day.|V'eh leah er y laa.
It was greatly admired.|Va moylley mooar currit da.
It was great fun.|By vooar yn spoyrt eh.
It was humanly impossible.|Cha row eh ayns pooar dooinney y yannoo.
It was his hobby.|V'eh yn ceau traa echey.
It was he who bore the loss.|Eshyn va heese lesh.
It was good to see him.|By vie eh dy akin eh.
It was far away.|B'oddey ersooyl ve.
It was falling in torrents of rain.|V'eh deayrtey fliaghey.
It was evident to them.|B'leayr daue.
It was found here.|V'eh feddynit ayns shoh.
It was given to me.|V'eh currit dou.
It was full summer.|She mullagh y touree v'ayn.
It was freezing last night.|Va rio ayn riyr.
It was all due to him.|By chyndagh rishyn ooilley.
It was active in town today.|V'eh bioyr ayns y valley jiu.
It was acceptable to her.|By haittin lhee eh.
It was all fancy.|Cha row ayn agh sheiltynys.
It was a wet day.|She laa fliugh va'n.
It was above them.|V'eh er-nyn-skyn
It was above his head.|V'eh erskyn e chione.
It was about her that they were talking.|She mooeeish v'ad loayrt.
It was audible all over the Island.|V'eh ry-chlashtyn ooilley mygeayrt yn ellan.
It was broad daylight.|Va laa gial ayn.
It was broad daylight.|V'eh glenhollys.
It was bought by me.|V'eh kionnit aym.
It was broken.|V'eh brisht.
It was broken.|Vrish eh.
It was borne.|V'eh ymmyrkit.
It was behind me.|Cooyl aym v'eh.
It was beyond description there.|V'eh erskyn insh ayns shen.
It was blowing storm force.|Va slane dorrin ayn.
It was beyond me.|V'eh ro ghoillee dou.
It's pretty much the same thing.|T'eh bunnys yn 'un red.
It's only play.|Cha nel eh agh gamman.
It's out of character.|T'eh mee-chooie.
It's pretty good.|T'eh lane vie.
It's perfectly ridiculous.|Cha nel ayn agh faghid.
It's time we were moving.|T'eh tra dy gholl.
It's unheard of.|Cha row y lhied rieau ry chlashtyn.
It's true within limits.|Ta sorch d'irriney ayn.
It's still fresh in my memory.|Ta cooinaghtyn mie aym foast er.
It's right that you should do so.|S'cair dhyt jannoo myr shen.
It's the same old story.|She'n shenn skeeal reesht eh.
It's the real thing this time.|She'n red hene eh y traa shoh.
It's the only avenue left.|She'n un vollagh ta faagit.
It's no use being wise after the event.|Cha n'eeu eh as keeayll ro anmagh eu.
It's not a bit of use to me.|Cha nel eh jeh ymmyd erbee dou.
It's not so bad considering.|Cha nel eh cha olk son ooilley.
It's not my place to say it.|Cha nel eh orryms gra eh.
It's not fair.|Cha nel eh cairagh.
It's no great matter.|Cha nel eh jeh monney scansh.
It's nice here.|T'eh taitnyssagh ayns shoh.
It's nice and cold.|T'eh mie feayr.
It's no affair of mine.|S'cummey dou.
It's no good talking about it.|Cha nel eh feeu loayrt mychione.
It's no concern of mine.|Cha nel eh my churryms.
It's not so great as all that.|Cha nel eh wheesh shen edyr.
It's of no consideration.|Cha nel eh feeu veg.
It's of little amount.|S'beggan feeu eh.
It's not worth mentioning.|Cha nel eh feeu gimraa.
It's not worth mentioning.|Cha nel eh feeu cheet er.
It's off my beat altogether.|T'eh ass my reir ooilley cooidjagh.
It's only a white elephant.|Cha nel eh jeh ymmyd erbee.
It's only a fleabite.|Cha nel eh agh beggan beg.
It's only a drop in the bucket.|Cha nel eh agh soo-hallooin ayns beeal assyl.
It's not to be seen.|Cha nel eh ry akin.
It's not to be got.|Cha nel eh ry-gheddyn.
It's not up to much.|Cha nel eh feeu monney.
It's not worth a penny.|Cha neeagh ping eh.
It's not worth a brass farthing.|Cha n'eeu eh ushtey ny braase.
It's not very easy.|Cha nel eh feer aashagh.
It's time to push on.|T'eh traa dy immeeaght.
It's unpopular with them.|Cha mie lhieu eh.
It's very wrong of you to say it.|T'eh feer aggairagh dhyt shen y raa.
It's natural enough.|T'eh dooghyssagh dy liooar.
It's a matter of opinion.|Cha nel ayn agh dty varel.
It's a positive fact.|She'n irriney ghlen ee.
It's a shame for you.|S'bastagh er dty hons eh.
It's a second best.|Cha nel eh agh yn derrey share.
It's a sad state of affairs.|S'boght yn skeeal eh.
It's a long way round.|S'mooar yn bayr eh.
It's a great shame.|S'mooar y nearey ee.
It's a good job that he came.|S'mie eh dy daink eh.
It's a good fit.|She towse mie eh.
It's a jolly shame.|S'bastagh mooar eh.
It's a long way round.|S'liauyr yn bayr eh.
It's a long way from here.|T'eh foddey ersooyl veih shoh.
It's a long way from here.|S'liauyr yn raad voish shoh eh.
It's a slow process.|She obbyr liauyr ee.
It's all sold out.|T'eh ooilley creckit.
It's all round me.|T'eh ooilley mooms.
It's all the go now.|T'eh yn oash nish.
It's all to the good.|T'eh ooilley lesh y vie.
It's all the same to me.|S'cummey dooys.
It's all the rage these days.|Cha nel red erbee ayn ny laghyn shoh agh shen.
It's all in the air yet.|Cha nel eh agh caaynt foast.
It's a sorry business.|S'boght yn skeeal eh.
It's a solemn fact.|She feer as trome-chooishagh. eh.
It's all Greek to me.|Cha nel mee toiggal fockle jeh.
It's all due to his difficulty.|T'eh ooilley rere y doccarys echey.
It's all due to his difficulty.|T'eh ooilley croghey er y noi-vreihys echey.
It's a bad business.|S'olk yn skeeal eh.
It'll do you no end of good.|Nee eh foays mooar dhyt.
It's a big challenge.|She doolane mooar.
It's a case for the doctor.|She cooish da'n er lhee eh.
It yawned at my feet.|Lheanee eh ec my chosh.
It would not be good.|Cha beagh eh mie.
It would hardly have done to say it.|S'goan oddagh eh er ve jeant dy ghra eh.
It would turn out to his advantage.|B'lhiass da.
It's a crying shame.|She scammyltagh eh.
It's a far cry from here.|S'foddey yn raad eh voish shoh.
It's a fake.|She foalsey eh.
It's a fake.|She far-skeeal eh.
It's a good cause.|She jeih-chooish ee.
It's a fact.|She'n irriney t'ayn.
It's a fact.|She nhee t'ayn.
It's a devil of a business.|She skeeal donney eh.
It's good for nothing.|Chan 'eeagh eh veg.
It's good for me.|S'mie dou eh.
It's great here.|T'eh mie er bashtal ayns shoh.
It's gone out of fashion.|Cha nel eh yn oash nish.
It's getting late.|T'eh lesh yn anmys.
It's had it's day.|T'eh jeant.
It's looking up.|T'eh jeeaghyn ny share.
It's much of a muchness.|T'eh bunnys yn un' red.
It's most good.|T'eh slane vie.
It's hard to see.|T'eh comleayrtagh.
It's high time he went.|She lane traa da dy gholl.
It's in place now.|T'eh ayns ynnyd nish.
It's his own.|S'lesh hene eh.
It's based on the truth.|Ta bun firrinagh rish.
It's at rest now.|T'eh aashagh nish.
It's at an end.|T'eh ec kione.
It's always getting done.|T'eh rieau goll er jannoo.
It's all wrong.|Cha nel bun ny baare er.
It's all up.|Ta'n cloie caillt.
It's as clear as crystal.|T'eh baghtal ry-akin.
It's as plain as daylight.|T'eh cha baghtal as grian y vunlaa.
It's as good as done.|T'eh er-chee jeant.
It's as clear as mud.|Cha jinnagh peiagh erbee toiggal eh.
It's early in the night yet.|T'eh aeg 'syn oie foast.
It's far easier here.|T'eh foddey s'assey ayns shoh.
It's exceedingly good.|T'eh ree-vie.
It's enough to make your hair stand on end.|Hroggagh eh folt dty ching.
It's driving rain.|Ta'n fliaghey greddey roish.
It's difficult to get at.|T'eh doillee dy roshtyn.
It's difficult to get at.|T'eh doillee feddyn magh.
It's drawing to an end.|T'eh cheet gy-kione.
Mind you own business.|Cur arrey da dty churrym hene.  
May God prosper you.|Dy bishee Jee shiu.
Meet me there.|Tar my whail ayns shen.
My mind misgives me.|Ta drogh ourys orrym.
My thoughts were wandering.|Va my smooinaghtyn er shaghryn.
My memory is at fault.|Ta cooinaghtyn moal aym.
My lips are sealed.|Ta glass er my hengey.
My advice to you is not to go.|She my choyrle dhyt dyn goll.
My prayer has been answered.|Deaisht Jee rish my phadjer.
Looking back on it I was wrong.|Jeeaghyn ny yei er, va mee aggairagh.
Look the facts in the face.|Cur dty eddin er yn irriney.
Look who's here.|Jeeagh quoi t'ayn.
Listen with each ear and then judge.|Eaisht lesh dagh cleaysh as eisht jean briwnys.
Listen to their objections.|Eaisht rish nyn blaiynt.
Listen to the man.|Eaisht rish yn dooinney.
Little shower in the evening.|Frough veg 'syn astyr.
Little shower in the evening.|Frass beg 'syn astyr.
March tightens the next month flays.|Ta'n Vayrnt chionney as y nah vee fanney.
Many is the wave between the ship and the shore.|Shimmey yn tonn eddyr y lhong as y cheer.
Man proposes God disposes.|Dooinney dy ghra as Jee dy yannoo eh.
Many a man is unhappy.|Shimmey dooinney nagh vel maynrey.
Make yourself acquainted with it.|Jean oo hene ainjyssagh rish.
Make it your business to see to it.|Jean eh dty churrym dy yannoo eh.
Make the best of it.|Jean y chooid share jeh.
Make the most of it.|Jean y chooid smoo jeh.
Once a year.|Un keayrt 'sy vlein.
Once a week.|Un cheayrt 'sy chiaghtin.
On the surface everything was well.|Er yn eddin va dagh ooilley nhee dy mie.
One of these days.|Nane jeh ny laghyn shoh t'ayn.
On the bus.|Er y varroose.
On the bus.|Er y vus.
On Monday.|Jelune.
On my way home.|Er my raad thie. 
On the one hand it's O.K. on the other it's not.|Er yn un cheu t'eh kiart er y cheu elley cha nel eh.
On the road.|Er y raad.
On the road.|Er y cheayrt.
Painting and paperhanging.|Daahghey as pabyraght.
Overwhelmed with work.|Baiht ayns obbyr.
Pain in stomach.|Gailley ching.
Out in the fresh air.|Mooie fo'n aer.
No, not a bit.|Cha nel er chor erbee.
Nobody spoke to me.|Cha loayr peiagh erbee rhym.
Not material to the point in question.|Nagh vel bentyn da'n chooish.
Not under any circumstance.|Cha nee er chor erbee.
Not particularly.|Cha nel monney.
Not so far.|Cha nel foast.
Not that I care.|By gummey lhiams.
Nor will it be correct.|Chamoo vees eh kiart.
Nor I either.|Na mish edyr.
Not but that I pity you.|Cha nee nagh vel chymmey aym ort.
Not far distant from here.|Tammylt beg veih shoh.
Not if I can help it.|Cha nee my voddym cosney roish.
Not here.|Cha nee ayns shoh.
Not a sound was heard.|Cha row sheean ry chlashtyn.
Neither do I take any notice of you.|Chamoo ta mish cur geill dhyt.
Neither you nor I know.|Cha nel fys ayds ny ayms.
Next year.|Yn vlein ry heet.
Next week.|Yn chiaghtin shoh cheet.
Never say die.|Bee laa elley ayn.
Never darken my door again.|Ny tar gys my ghorrys dy bragh arragh.
Never a one.|Fer erbee.
On alternating days.|Dagh cor-laa.
On certain days.|Laghyn ennagh.
Now you've gone and done it.|Nish t'ou er n'yannoo eh.
Now is the coming of Spring.|Nish cheet yn Arree.
Now that I come to think of it.|Nish ta mee smooinaghtyn er.
Now ready.|Ry-chur magh dy gerrid.
Now or never.|Nish ny dyn dy bragh.
Now you've gone and done it.|Nish ta'n jeeyl jeant ayd.
Nothing is farther from my thoughts.|She yn red s'jerrinagh jeh my aigney eh.
Nothing has any effect on it.|Cha nel veg cur jerrey er.
Nothing goes right with me.|Cha nel red erbee cheet lhiam.
Nothing stands between you and me.|Cha nel veg eddyr ain.
Nothing remained.|Cha row veg er mayrn.
Nothing of note happened.|Cha haghyr red erbee feeu cheet er.
Nothing escapes him.|Cha nel veg shaghney eh.
Of course.|Son shickyrys.
Of course.|Myrchaagh.
Of course.|Dy ve shickyr.
Put an end to it.|Cur jerrey er.
Put your mind to it.|Cur dt'aigney rish.
Put it out of your mind.|Ceau ass dty chione eh.
Received with thanks.|Goit lesh bwooise.
Respect your elders.|Cur ammys da sleih shinney.
Respect your elders.|Cur ammys da'n chenndiaght.
Rest assured.|Bee shickyr.
Rely on yourself.|Shass er dty chione hene.
Rain beating down.|Fliaghey deayrtey neose.
Rainy day.|Laa fliaghagh.
Rainstorm.|Sterrym fliaghee.
Rain beating on the window.|Fliaghey bwoalley er yn uinnag.
Read it and pass it on.|Lhaih eh as cur mygeayrt eh.
Permit me to tell you the truth.|Lhig dou ginsh yn irriney dhyt.
Persistent rain.|Sheer fliaghey.
Perhaps so.|Foddee.
Personally I am willing.|Er my hon hene ta mee arryltagh.
Peace be unto you.|Shee dy row hiu.
Possessed by possessions.|Eeit seose liorish cooid.
Possessed by fear.|Fo aggle mooar.
Possessed with doubt.|Eeit ec yn ourys.
Possibly he has heard of you.|Foddee dy vel eh er chlashtyn jeed.
Plainly I was not wanted.|Chronnee mee nagh row mee laccalit.
Place it in God's hands.|Cur eh ayns laueyn Yee.
Politeness is at a discount.|Ta cooyrtoilid feer ghoan.
Please tell me.|Insh dou my saillt.
Please let me know.|Cur fys hym my sailt.
Please answer immediately.|Freggyr chelleeragh my sailliu.
Please accept my compliments.|Gow corp as slaynt voym my sailliu.
Set your heart at rest.|Ny bee imneagh.
See for yourself.|Faik dhyt hene.
Send it to me.|Cur hym eh.
Send it up to me.|Cur neese hym eh.
Send for him.|Cur fys er.
Speak at your ease.|Loayr ass dt'aash.
Speaking for myself.|Loayrt er my hon hene.
Speak coherently.|Loayr dy rea.
Spend what you have while you live.|Stroie yn foddyr er y ghrunt.
So the story runs.|Shen t'ad gra.
So to speak.|Dy ghra myr shen.
So to speak.|Myr yiarrin.
So to speak.|My yiarragh ad.
So the matter rests.|Myr shen ta'n chooish ny lhie.
So much the better.|Wheesh share.
Something of that sort.|Red ennagh myr shen.
Somehow I'm getting through the day.|Ta mee cur stiagh y laa er aght ennagh.
Some way or another.|Aght ennagh.
Steady downpour.|Sheer-liaghey.
Stand on your own feet.|Shass er dty chione hene.
Show me how to do that.|Cur toiggal dou er shen.
That won't be much good.|Cha jean shen monney dy vie.
That won't catch on.|Cha bee monney foays er shen.
That won't pass.|Cha jean shen jannoo.
That won't go down with me.|Cha gredjym y lheid shen.
That will take care of itself.|Nee'n red shen goaill kiarail jeh hene.
That will smooth him.|Ver shen kiuney er.
That will set her mind at rest.|Ver shen shee er yn aigney eck.
That will see him off.|Ver shen jerrey er.
That will stir them.|Nee shen ad y ghreesaghey.
That will suit him.|Nee shen jannoo cooie da.
That will suffice.|S'liooar shen.
That will suffice.|Nee shen jannoo.
That won't prosper for you.|Cha jig shen lhiat. 
That's a bright idea.|Ta shen eie mie.
That's a beauty.|Ta shen fer aalin.
That's a dig at you.|Hoods eh shen.
That's a different man.|Ta shen fer elley.
That's a curious thing.|Ta shen red aitt.
That's a bad look out for him.|Ta shen drogh vonney da.
That would be even worse.|Veagh shen eer ny smessey.
That work is a total failure.|Ta'n obbyr shen rey.
That word is only an Anglicism.|Cha nel yn fockle shen agh Baarlaghys.
That wouldn't be worth much.|Cha b'eeu shen monney.
That you vouchsafed.|Dy gooidsave lhiat.
That will do equally well.|Nee shen jannoo kairt cha mie.
That will do for the time being.|Nee shen jannoo cour y traa.
That will do you good.|Nee shen foays dhyt.
That will buck you up.|Ver shen cree dhyt.
That will put the kibosh on it.|Ver shen ny mucyn ny hrooid.
That will put the kibosh on it.|Ver shen jerrey er.
That will pick you up.|Ver shen hood hene oo.
That will pick you up.|Nee shen jannoo foays dhyt.
That will not help you.|Cha jean shen cooney lhiat.
That will not do.|Cha jean shen jannoo.
That's indifferent to me.|Ta shen chammah dooys.
That's how it struck me.|Myr shen honnick mee eh.
That's my fate.|Ta shen y cronney aym.
That's not fair.|Cha nel shen jonnick.
That's not dear as things go.|Cha nel shen deyr son y leagh t'er reddyn nish.
That's only child's-play.|Cha nel shen agh staartey bog.
That's nothing to go by.|Cha nel shen jeh monney scansh.
That's not of much regard.|Cha nel shen jeh monney scansh.
That's my own.|Ta shen lhiam pene.
That's my inclination.|Ta shen my reir.
That's none of my doing.|Cha nel mee kyndagh rish.
That's neither here nor there.|Cha nel shen jeh scansh erbee.
That's my property.|S'lhiams eh shen.
That's all very well, but ...|Ta shen ooilley kiart dy liooar, agh ...
That's ample.|S'liooar shen.
That's an evil thing.|Ta shen red olk.
That's ample.|Ta shen dy liooar.
That's a fearful looking thing.|Ta shen red bugganeagh.
That's a far country.|S'foddey yn cheer shen.
That's a sure sign.|Ta shen monney shickyr.
That's about the size of it.|Shen eh nish ayd.
That's a trifling matter.|Cha nel shen agh myn-chooish.
That's awkward.|Ta shen neuchooie.
That's flat.|Cha nel ourys erbee er shen.
That's first rate.|Ta shen feer vie.
That's fine.|S'mie shen.
That's good.|S'mie shen.
That's her and no mistake.|Shen ish, gyn ourys.
That's good going.|Ta shen immeeaght vie.
That's good for you.|Ta shen foayssagh dhyt.
That's easily understood.|S'aashagh shen y hoiggal.
That's clear enough.|Ta shen baghtal dy liooar.
That's beside the point.|Cha nel shen bentyn rish y chooish.
That's easy done.|Ta shen so-yannoo.
That's exceedingly good to eat.|Ta shen follan er bashtal.
That's enough for me.|S'liooar shen dou.
That will buck you up.|Nee shen foays dhyt.
That it was little.|Dy my veg eh.
That is why.|Shen y fa.
That is where you are mistaken.|Ayns shen t'ou mollit.
That lies outside my attributions.|Ta shen cheu hoal jeh my chummaght.
That lends colour to the story.|Ta shen cur crackan ny firriney da'n skeeal.
That leaves me cold.|S'cummey dou shen.
That is where my sympathies lie.|Ta shen raad ta my ennaghtyn nyn lhie.
That is very interesting.|Ta shen feer hymoil dy jarroo.
That is where he is.|Shen y raad t'eh.
That makes all the difference.|Ta shen cur cummey elley er y skeeal.
That one is yours.|Lhiats eh shen.
That one is mine.|Lhiams eh shen.
That one is Mary.|T'ee shen Moirrey.
That relates to that time.|Ta shen bentyn da'n traa shen.
That should suit you.|Lhisagh shen jannoo dhyt.
That sets seal to it.|Ta shen cur seal rish.
That requires some doing.|S'mooar yn obbyr shen.
That one.|Yn fer shen.
That may be.|Oddagh shen y ve.         
That man is my bugbear.|Ta'n dooinney shen ny lhie dy trome orrym.
That man.|Yn dooinney shen.
That mistake balance the other.|Ren y marran shen cochiartaghey y fer elley.
That moved him to do it.|Hug shen ersyn dy yannoo eh.
That is my opinion.|Ta shen my varel.
That is my opinion.|Shen my varel.
That is my contention.|Ta shen my varel.
That is not the case.|Cha nel eh myr shen.
That is now superseded.|Ta red ayns ynnyd jeh shen nish.
That is nothing to boast about.|Cha nel shen oyr boggys erbee.
That is not what I meant to say.|Cha nee shen by vian lhiam gra.
That is my assessment of it.|Ta shen y towse aym jeh.
That is immaterial to the question.|Cha nel shen bentyn rish y cheisht.
That is just as he would wish.|Ta shen kiart myr by vian lesh.
That is my aim.|Ta shen my yeearree.
That is much better.|Ta shen foddey share.
That is just what I wanted.|Ta shen myr by vian lhiam.
That is often the case.|T'eh dy mennick myr shen.
That is the point of the story.|Ta shen bree y skeeal.
That is the plight we are in.|Ta shen yn aght t'orrin.
That is the meaning of the story.|Ta shen bree yn skeeal.
That is the sign of a wedding.|Ta shen monney poosee.
That is the type they are seeking.|Ta shen yn sorch t'ad shirrey.
That is the thin edge of the wedge.|Ta shen kione keyl ny jeenys.
That is the last I saw of him.|Cha naik mee rieau er dy henney eh.
That is quite another thing.|Ta shen skeeal elley.
That is out of the question.|Ta shen erskyn smooinaght.
